,latitude,longitude,height,line_id
121,59.625576820229256,28.5542888730144,-7.320019126607952e-05,339
122,59.625578989058276,28.554270458707,-7.635491030499509e-05,339
123,59.62558111923373,28.554252372561706,-7.927971809784734e-05,339
124,59.62558323823279,28.55423438128566,-8.201970453557795e-05,339
125,59.625585340011234,28.55421653619759,-8.456873303554762e-05,339
126,59.62558741943963,28.554198880849466,-8.692690070671394e-05,339
127,59.625589493736044,28.554181269052037,-8.911606673551806e-05,339
128,59.625591550811976,28.554163803442872,-9.11264096504856e-05,339
129,59.62559360275603,28.554146381384374,-9.297143580645276e-05,339
130,59.62559563326507,28.55412914129854,-9.464052024244902e-05,339
131,59.625597680074826,28.554111762789375,-9.616624422057993e-05,339
132,59.625599715708525,28.554094479149622,-9.752490609507408e-05,339
133,59.62560174621042,28.554077239060206,-9.872391688277781e-05,339
134,59.62560378183933,28.554059955418147,-9.977078469041908e-05,339
135,59.62560581746585,28.554042671774948,-0.00010065998219765303,339
136,59.62560784704574,28.55402543944992,-0.00010138939025720147,339
137,59.625609910144036,28.554007922511936,-0.0001019723210074789,339
138,59.62561196115138,28.55399050821167,-0.00010239248381808268,339
139,59.625614013071164,28.553973086142275,-0.0001026528571850969,339
140,59.625616081291426,28.553955525649986,-0.00010275428584049594,339
141,59.62561816159766,28.553937862517554,-0.00010269214306029737,339
142,59.62562024703071,28.553920155832827,-0.00010246652596181106,339
143,59.62562233850548,28.553902397827283,-0.00010207478861192034,339
144,59.625624441151245,28.553884544949756,-0.00010151357870113023,339
145,59.62562655496798,28.55386659720023,-0.00010078162181814709,339
146,59.62562866878215,28.553848649449407,-9.987972145570927e-05,339
147,59.62563079889644,28.55383056327568,-9.880050784895887e-05,339
148,59.62563292900813,28.55381247710071,-9.754903740536283e-05,339
149,59.62563508146408,28.55379420118295,-9.610962875684346e-05,339
150,59.62563722274392,28.553776020134702,-9.450466789128228e-05,339
151,59.62563938032375,28.553757700663734,-9.271115954955814e-05,339
152,59.62564149925145,28.55373970935463,-9.07778785182979e-05,339
153,59.625643623305734,28.553721674493737,-8.867073366589022e-05,339
154,59.62564572501064,28.553703829373415,-8.641697316029961e-05,339
155,59.625647815539594,28.553686079122862,-8.400936556355464e-05,339
156,59.62564989580775,28.553668415972133,-8.145041848889791e-05,339
157,59.62565194768251,28.5536509938824,-7.876483125369083e-05,339
158,59.625653988381494,28.553633666662495,-7.593474749555782e-05,339
159,59.62565602394897,28.55361638299183,-7.295620563872158e-05,339
160,59.625658037167426,28.553599289061857,-6.985682764897967e-05,339
